CUI1,STR1,CUI2,STR2
c0007684,infections central nervous system,c0002499,amikacin
c0007781,intracranial embolism thrombosis,c0000598,"hydrochloride, ticlopidine"
c0007781,intracranial embolism and thrombosis,c0000598,"hydrochloride, ticlopidine"
c0007785,cerebral infarctions,c0010976,dantrolene
c0007785,infarctions cerebral,c0010976,dantrolene
c0007785,cerebral infarction nos,c0010976,dantrolene
c0007785,cerebral infarction,c0010976,dantrolene
c0007785,infarctioncerebral,c0010976,dantrolene
c0007785,infarction cerebral,c0010976,dantrolene
c0007785,cerebral infarction nos,c0010976,dantrolene
c0007785,infarction  cerebral,c0010976,dantrolene
c0007785,infarction cerebral,c0010976,dantrolene
c0007785,cerebral infarction,c0010976,dantrolene
c0007785,infarction cerebral,c0010976,dantrolene
c0007786,brain ischemia,c0015131,etomidate
c0007786,ischemia brain,c0015131,etomidate
c0007786,brain ischemias,c0015131,etomidate
c0007786,ischemia brain,c0015131,etomidate
c0007786,ischemia brain,c0015131,etomidate
c0007789,cerebral palsy,c0004609,baclofen
c0007789,palsy cerebral,c0004609,baclofen
c0007789,palsy cerebral,c0004609,baclofen
c0007789,cerebral palsy nos,c0004609,baclofen
c0007789,cerebral palsy nos,c0004609,baclofen
c0007789,palsycerebral,c0004609,baclofen
c0007859,neck pain,c2719430,rimabotulinumtoxinb
c0007859,pain neck,c2719430,rimabotulinumtoxinb
c0007859,neck pains,c2719430,rimabotulinumtoxinb
c0007859,pain neck,c2719430,rimabotulinumtoxinb
c0007859,pains neck,c2719430,rimabotulinumtoxinb
c0007859,pain in neck,c2719430,rimabotulinumtoxinb
c0007859,painneck,c2719430,rimabotulinumtoxinb
c0007859,neck pain nos,c2719430,rimabotulinumtoxinb
c0007859,neck pain,c2719430,rimabotulinumtoxinb
c0007859,pain neck,c2719430,rimabotulinumtoxinb
c0007873,uterine cervical neoplasm,c0146224,topotecan
c0007873,cervical neoplasm uterine,c0146224,topotecan
c0007873,cervical neoplasms uterine,c0146224,topotecan
c0007873,neoplasm uterine cervical,c0146224,topotecan
c0007873,neoplasms uterine cervical,c0146224,topotecan
c0007873,uterine cervical neoplasms,c0146224,topotecan
c0007947,chancroid,c0007561,ceftriaxone
c0007947,chancroids,c0007561,ceftriaxone
c0008049,chickenpox,c0001367,acyclovir
c0008049,chickenpox nos,c0001367,acyclovir
c0008049,chickenpox nos,c0001367,acyclovir
c0008059,child nos,c0053230,benznidazole
c0008059,children,c0053230,benznidazole
c0008059,child,c0053230,benznidazole
c0008066,child behavior disorders,c0008286,chlorpromazine
c0008066,child behavior disorder,c0008286,chlorpromazine
c0008066,behavior child disorder,c0008286,chlorpromazine
c0008066,behavior disorders in children,c0008286,chlorpromazine
c0008066,behavior disorder child,c0008286,chlorpromazine
c0008066,disorderbehaviorchild,c0008286,chlorpromazine
c0008066,disorderbehaviourchild,c0008286,chlorpromazine
c0008100,preschool child,c0053230,benznidazole
c0008100,preschool children,c0053230,benznidazole
c0008100,children preschool,c0053230,benznidazole
c0008100,child preschool,c0053230,benznidazole
c0008149,chlamydia infection,c0002645,amoxicillin
c0008149,chlamydia infections,c0002645,amoxicillin
c0008149,infection chlamydia,c0002645,amoxicillin
c0008149,infections chlamydia,c0002645,amoxicillin
c0008149,chlamydia infection,c0002645,amoxicillin
c0008153,chlamydiaceae infection,c0038689,sulfamethoxazole
c0008153,chlamydiaceae infections,c0038689,sulfamethoxazole
c0008153,infection chlamydiaceae,c0038689,sulfamethoxazole
c0008153,infections chlamydiaceae,c0038689,sulfamethoxazole
c0008311,cholangitides,c1143018,obeticholic acid
c0008311,cholangitis,c1143018,obeticholic acid
c0008311,cholangitis nos,c1143018,obeticholic acid
c0008311,cholangeitis,c1143018,obeticholic acid
c0008311,cholangitis nos,c1143018,obeticholic acid
c0008350,cholelithiases,c0003993,asparaginase
c0008350,cholelithiasis,c0003993,asparaginase
c0008350,cholelithiasis nos,c0003993,asparaginase
c0008350,cholelithiasis nos,c0003993,asparaginase
c0008354,choleras,c0011276,demeclocycline
c0008354,cholera,c0011276,demeclocycline
c0008354,cholera nos,c0011276,demeclocycline
c0008354,cholera nos,c0011276,demeclocycline
c0008372,cholestases intrahepatic,c4719544,fish oil (containing omega-3 acids)
c0008372,cholestasis intrahepatic,c4719544,fish oil (containing omega-3 acids)
c0008372,intrahepatic cholestases,c4719544,fish oil (containing omega-3 acids)
c0008372,cholestasis intrahepatic,c4719544,fish oil (containing omega-3 acids)
c0008372,intrahepatic cholestasis,c4719544,fish oil (containing omega-3 acids)
c0008412,choline deficiencies,c0008405,choline
c0008412,choline deficiency,c0008405,choline
c0008412,deficiencies choline,c0008405,choline
c0008412,deficiency choline,c0008405,choline
c0008489,choreas,c4277781,deutetrabenazine
c0008489,chorea,c4277781,deutetrabenazine
c0008489,chorea nos,c4277781,deutetrabenazine
c0008497,choriocarcinomas,c0005739,bleomycin sulphate
c0008497,choriocarcinoma,c0005739,bleomycin sulphate
c0008497,chordocarcinoma,c0005739,bleomycin sulphate
c0008497,choriocarcinoma nos,c0005739,bleomycin sulphate
c0008497,choriocarcinoma nos,c0005739,bleomycin sulphate
c0008526,choroiditides,c0010137,cortisone
c0008526,choroiditis,c0010137,cortisone
c0008526,choroiditis nos,c0010137,cortisone
c0008526,choroiditis nos,c0010137,cortisone
c0008533,hemophilia b nos,c0015491,factor ix
c0008533,haemophilia b nos,c0015491,factor ix
c0008533,hemophilia b,c0015491,factor ix
c0008533,b haemophilia,c0015491,factor ix
c0008533,haemophilia b,c0015491,factor ix
c0008533,b hemophilia,c0015491,factor ix
c0008533,bs hemophilia,c0015491,factor ix
c0008533,haemophilia bs,c0015491,factor ix
c0008533,hemophilia bs,c0015491,factor ix
c0008533,b hemophilia,c0015491,factor ix
c0008533,hemophilia b,c0015491,factor ix
c0008582,chromoblastomycoses,c0016278,flucytosine
c0008582,chromoblastomycosis,c0016278,flucytosine
c0008677,bronchitis chronic,c0025573,metaproterenol sulfate
c0008677,chronic bronchitis,c0025573,metaproterenol sulfate
c0008677,bronchitis chronic,c0025573,metaproterenol sulfate
c0008677,chronic bronchitis nos,c0025573,metaproterenol sulfate
c0008677,bronchitischronic,c0025573,metaproterenol sulfate
c0008677,chronic bronchitis nos,c0025573,metaproterenol sulfate
c0008677,bronchitis chronic nos,c0025573,metaproterenol sulfate
c0008677,bronchitis chronic,c0025573,metaproterenol sulfate
c0008677,chronic bronchitis,c0025573,metaproterenol sulfate
c0008733,chylothorax,c0724624,medium chain triglyceride
c0008733,chylothoraces,c0724624,medium chain triglyceride
c0009021,clonorchiases,c0001911,albendazole
c0009021,clonorchiasis,c0001911,albendazole
c0009021,clonorchiosis,c0001911,albendazole
c0009062,clostridium infection,c0007554,cefotaxime
c0009062,clostridium infections,c0007554,cefotaxime
c0009062,infection clostridium,c0007554,cefotaxime
c0009062,clostridia infections,c0007554,cefotaxime
c0009062,clostridia infection,c0007554,cefotaxime
c0009062,infections clostridium,c0007554,cefotaxime
c0009088,headaches cluster,c0010620,cyproheptadine
c0009088,cluster headaches,c0010620,cyproheptadine
c0009088,cluster headache,c0010620,cyproheptadine
c0009088,headache cluster,c0010620,cyproheptadine
c0009088,cluster headache nos,c0010620,cyproheptadine
c0009088,headaches cluster,c0010620,cyproheptadine
c0009088,headachecluster,c0010620,cyproheptadine
c0009088,clusters headache,c0010620,cyproheptadine
c0009088,headache cluster,c0010620,cyproheptadine
c0009088,cluster headache,c0010620,cyproheptadine
c0009088,headache cluster,c0010620,cyproheptadine
c0009186,coccidioidomycoses,c0002679,amphotericin b
c0009186,coccidioidomycosis,c0002679,amphotericin b
c0009186,coccidioidomycosis nos,c0002679,amphotericin b
c0009186,coccidioidomycosis nos,c0002679,amphotericin b
c0009187,coccidioses,c0073987,salinomycin
c0009187,coccidiosis,c0073987,salinomycin
c0009187,coccidiosis nos,c0073987,salinomycin
c0009324,colitis ulcerative,c0004482,azathioprine
c0009324,colitis ulcerative,c0004482,azathioprine
c0009324,ulcerative colitis nos,c0004482,azathioprine
c0009324,ulcerative colitis,c0004482,azathioprine
c0009324,colitisulcerative,c0004482,azathioprine
c0009324,colitis ulcerative,c0004482,azathioprine
c0009324,ulcerative colitis,c0004482,azathioprine
c0009326,disease collagen,c0001655,corticotrophins
c0009326,diseases collagen,c0001655,corticotrophins
c0009326,collagen disease,c0001655,corticotrophins
c0009326,collagen disease nos,c0001655,corticotrophins
c0009326,diseasecollagen,c0001655,corticotrophins
c0009326,collagen diseases,c0001655,corticotrophins
c0009326,collagen disease nos,c0001655,corticotrophins
c0009373,colonic disease,c0036442,scopolamine
c0009373,colonic diseases,c0036442,scopolamine
c0009373,disease colonic,c0036442,scopolamine
c0009373,diseases colonic,c0036442,scopolamine
c0009374,colonic disease functional,c0023992,loperamide
c0009374,colonic diseases functional,c0023992,loperamide
c0009374,disease functional colonic,c0023992,loperamide
c0009374,diseases functional colonic,c0023992,loperamide
c0009374,functional colonic disease,c0023992,loperamide
c0009374,functional colonic diseases,c0023992,loperamide
c0009375,colonic neoplasm,c0007257,carmustine
c0009375,neoplasm colonic,c0007257,carmustine
c0009375,colonic neoplasms,c0007257,carmustine
c0009375,colonic neoplasm nos,c0007257,carmustine
c0009375,neoplasms colonic,c0007257,carmustine
c0009404,neoplasm colorectal,c0002475,mitomycin
c0009404,colorectal neoplasm,c0002475,mitomycin
c0009404,colorectal neoplasms,c0002475,mitomycin
c0009404,neoplasms colorectal,c0002475,mitomycin
c0009443,colds common,c0003968,"acid, ascorbic"
c0009443,common cold,c0003968,"acid, ascorbic"
c0009443,common colds,c0003968,"acid, ascorbic"
c0009443,cold common,c0003968,"acid, ascorbic"
c0009443,cold common,c0003968,"acid, ascorbic"
c0009443,common cold,c0003968,"acid, ascorbic"
c0009450,communicable disease,c0019435,hexachlorophene
c0009450,disease communicable,c0019435,hexachlorophene
c0009450,diseases communicable,c0019435,hexachlorophene
c0009450,communicable disease nos,c0019435,hexachlorophene
c0009450,communicable diseases,c0019435,hexachlorophene
c0009663,condyloma acuminata,c0021735,interferon alpha-2b
c0009663,condyloma acuminatum,c0021735,interferon alpha-2b
c0009663,condylomata acuminata,c0021735,interferon alpha-2b
c0009663,acuminata condylomas,c0021735,interferon alpha-2b
c0009663,condylomata acuminatum,c0021735,interferon alpha-2b
c0009663,acuminata condylomata,c0021735,interferon alpha-2b
c0009663,condyloma acuminata,c0021735,interferon alpha-2b
c0009663,acuminata condyloma,c0021735,interferon alpha-2b
c0009763,conjunctivitides,c0012694,cromolyn sodium
c0009763,conjunctivitis,c0012694,cromolyn sodium
c0009763,conjunctivitis nos,c0012694,cromolyn sodium
c0009763,conjunctivitis nos,c0012694,cromolyn sodium
c0009766,allergic conjunctivitides,c0003143,antazoline
c0009766,conjunctivitides allergic,c0003143,antazoline
c0009766,conjunctivitis allergic,c0003143,antazoline
c0009766,allergic conjunctivitis,c0003143,antazoline
c0009766,conjunctivitis allergic,c0003143,antazoline
c0009766,conjunctivitisallergic,c0003143,antazoline
c0009766,conjunctivitis allergic,c0003143,antazoline
c0009766,allergic conjunctivitis,c0003143,antazoline
c0009768,conjunctivitis bacterial,c0008809,ciprofloxacin
c0009768,conjunctivitis bacterial,c0008809,ciprofloxacin
c0009768,conjunctivitisbacterial,c0008809,ciprofloxacin
c0009768,bacterial conjunctivitis,c0008809,ciprofloxacin
c0009768,conjunctivitis bacterial nos,c0008809,ciprofloxacin
c0009768,conjunctivitides bacterial,c0008809,ciprofloxacin
c0009768,bacterial conjunctivitides,c0008809,ciprofloxacin
c0009774,conjunctivitides viral,c0126177,loteprednol etabonate
c0009774,conjunctivitis viral,c0126177,loteprednol etabonate
c0009774,viral conjunctivitides,c0126177,loteprednol etabonate
c0009774,viral conjunctivitis nos,c0126177,loteprednol etabonate
c0009774,conjunctivitis viral,c0126177,loteprednol etabonate
c0009774,conjunctivitisviral,c0126177,loteprednol etabonate
c0009774,viral conjunctivitis,c0126177,loteprednol etabonate
c0009774,conjunctivitis viral nos,c0126177,loteprednol etabonate
c0009774,viral conjunctivitis nos,c0126177,loteprednol etabonate
c0009806,constipation,c0005632,bisacodyl
c0009806,constipation nos,c0005632,bisacodyl
c0009938,contusion,c0066282,methyl salicylate
c0009938,contusions,c0066282,methyl salicylate
c0009938,contusion nos,c0066282,methyl salicylate
c0009938,contusion nos,c0066282,methyl salicylate
c0009952,convulsion febrile,c0031412,phenobarbital
c0009952,febrile convulsions,c0031412,phenobarbital
c0009952,febrile convulsion,c0031412,phenobarbital
c0009952,febrile convulsions nos,c0031412,phenobarbital
c0009952,febrile convulsion nos,c0031412,phenobarbital
c0009952,convulsion febrile,c0031412,phenobarbital
c0009952,convulsionsfebrile,c0031412,phenobarbital
c0009952,convulsions febrile,c0031412,phenobarbital
c0009952,convulsions febrile,c0031412,phenobarbital
c0009952,febrile convulsions,c0031412,phenobarbital
c0010034,corneal diseases,c0011145,deferoxamine
c0010034,disease corneal,c0011145,deferoxamine
c0010034,diseases corneal,c0011145,deferoxamine
c0010034,diseases corneal,c0011145,deferoxamine
c0010034,corneal disease,c0011145,deferoxamine
c0010037,corneal edema,c0037494,sodium chloride
c0010037,corneal edemas,c0037494,sodium chloride
c0010037,edema corneal,c0037494,sodium chloride
c0010037,edemas corneal,c0037494,sodium chloride
c0010037,corneal oedema,c0037494,sodium chloride
c0010037,corneal edema nos,c0037494,sodium chloride
c0010037,corneal oedema nos,c0037494,sodium chloride
c0010037,corneal edema nos,c0037494,sodium chloride
c0010037,edema corneal,c0037494,sodium chloride
c0010037,corneal oedema nos,c0037494,sodium chloride
c0010043,ulcer corneal,c0028902,ofloxacin
c0010043,corneal ulcer,c0028902,ofloxacin
c0010043,ulcer corneal,c0028902,ofloxacin
c0010043,corneal ulcer nos,c0028902,ofloxacin
c0010043,corneal ulcer nos,c0028902,ofloxacin
c0010043,ulcercorneal,c0028902,ofloxacin
c0010043,corneal ulcers,c0028902,ofloxacin
c0010068,coronary heart diseases,c0022251,isosorbide
c0010068,disease coronary heart,c0022251,isosorbide
c0010068,diseases coronary heart,c0022251,isosorbide
c0010068,heart disease coronary,c0022251,isosorbide
c0010068,heart diseases coronary,c0022251,isosorbide
c0010068,coronary heart disease,c0022251,isosorbide
c0010068,heart disease coronary,c0022251,isosorbide
c0010072,coronary thrombosis,c0019134,heparin
c0010072,thromboses coronary,c0019134,heparin
c0010072,thrombosis coronary,c0019134,heparin
c0010072,thrombosis coronary,c0019134,heparin
c0010072,thrombosis  coronary,c0019134,heparin
c0010072,coronary thromboses,c0019134,heparin
c0010200,cough,c0009170,cocaine
c0010200,coughs,c0009170,cocaine
c0010200,coughing,c0009170,cocaine
c0010200,cough nos,c0009170,cocaine
c0010346,crohns disease,c0004482,azathioprine
c0010346,crohns disease,c0004482,azathioprine
c0010346,crohns disease nos,c0004482,azathioprine
c0010346,disease crohns,c0004482,azathioprine
c0010346,crohn disease,c0004482,azathioprine
c0010346,crohns disease nos,c0004482,azathioprine
c0010346,crohn diseases,c0004482,azathioprine
c0010346,disease crohn,c0004482,azathioprine
c0010346,crohns diseases,c0004482,azathioprine
c0010346,diseasecrohns,c0004482,azathioprine
c0010346,crohns diseases,c0004482,azathioprine
c0010346,disease crohns,c0004482,azathioprine
c0010346,crohnss disease,c0004482,azathioprine
c0010403,cryoglobulinemia,c0021734,interferon alpha-2a
c0010403,cryoglobulinemias,c0021734,interferon alpha-2a
c0010403,cryoglobulinaemia,c0021734,interferon alpha-2a
c0010403,cryoglobulinemia nos,c0021734,interferon alpha-2a
c0010403,cryoglobulinaemia nos,c0021734,interferon alpha-2a
c0010417,cryptorchidism,c0018062,chorionic gonadotropin
c0010417,cryptorchidism nos,c0018062,chorionic gonadotropin
c0010418,cryptosporidioses,c0030576,paromomycin
c0010418,cryptosporidiosis,c0030576,paromomycin
c0010481,cushing syndrome,c0002555,aminoglutethimide
c0010481,syndrome cushings,c0002555,aminoglutethimide
c0010481,cushings syndrome,c0002555,aminoglutethimide
c0010481,cushings syndrome,c0002555,aminoglutethimide
c0010481,syndrome cushings,c0002555,aminoglutethimide
c0010481,syndrome cushing,c0002555,aminoglutethimide
c0010481,cushings syndrome nos,c0002555,aminoglutethimide
c0010520,cyanoses,c0022251,isosorbide
c0010520,cyanosis,c0022251,isosorbide
c0010520,cyanosis nos,c0022251,isosorbide
c0010674,cystic fibrosis,c0001047,acetylcysteine
c0010674,fibrosis cystic,c0001047,acetylcysteine
c0010674,cystic fibrosis nos,c0001047,acetylcysteine
c0010674,cystic fibrosis,c0001047,acetylcysteine
c0010674,fibrosis cystic,c0001047,acetylcysteine
c0010678,cysticercoses,c0032911,praziquantel
c0010678,cysticercosis,c0032911,praziquantel
c0010691,cystinuria,c0012341,iodoquinol
c0010691,cystinurias,c0012341,iodoquinol
c0010691,cystinuria nos,c0012341,iodoquinol
c0010692,cystitides,c0000294,mesna
c0010692,cystitis,c0000294,mesna
c0010692,cystitis nos,c0000294,mesna
c0010692,cystitis nos,c0000294,mesna
c0010692,cystitis nos,c0000294,mesna
c0010823,cytomegalovirus infections,c0017066,ganciclovir
c0010823,cytomegalovirus infection,c0017066,ganciclovir
c0010823,infection cytomegalovirus,c0017066,ganciclovir
c0010823,cytomegalovirus infection nos,c0017066,ganciclovir
c0010823,infections cytomegalovirus,c0017066,ganciclovir
c0011119,decompression sickness,c0030054,oxygen
c0011119,sickness decompression,c0030054,oxygen
c0011127,pressure ulcers,c0286382,polaprezinc
c0011127,ulcers pressure,c0286382,polaprezinc
c0011127,ulcer pressure,c0286382,polaprezinc
c0011127,pressure ulcer,c0286382,polaprezinc
c0011127,pressure ulcer,c0286382,polaprezinc
c0011127,ulcer pressure,c0286382,polaprezinc
c0011156,deficiency disease,c0001040,acetylcarnitine
c0011156,diseases deficiency,c0001040,acetylcarnitine
c0011156,disease deficiency,c0001040,acetylcarnitine
c0011156,deficiency diseases,c0001040,acetylcarnitine
c0011156,deficiencies disease,c0001040,acetylcarnitine
c0011175,dehydration,c0037494,sodium chloride
c0011206,delirium,c0030438,paraldehyde
c0011206,delirium nos,c0030438,paraldehyde
c0011206,delirium nos,c0030438,paraldehyde
c0011206,deliria,c0030438,paraldehyde
c0011226,hepatitis d infection,c0021734,interferon alpha-2a
c0011334,dental caries,c0051512,aluminum chloride (hexahydrate)
c0011334,caries dental,c0051512,aluminum chloride (hexahydrate)
c0011334,dental caries nos,c0051512,aluminum chloride (hexahydrate)
c0011334,dental caries nos,c0051512,aluminum chloride (hexahydrate)
c0011334,caries dental,c0051512,aluminum chloride (hexahydrate)
c0011334,caries dental,c0051512,aluminum chloride (hexahydrate)
c0011334,dental caries,c0051512,aluminum chloride (hexahydrate)
c0011570,depression mental,c0005013,benperidol
c0011570,depression mental,c0005013,benperidol
c0011570,mental depression,c0005013,benperidol
c0011570,depression mental,c0005013,benperidol
c0011570,mental depression,c0005013,benperidol
c0011581,depressive disorders,c0002333,alprazolam
c0011581,depressive disorder,c0002333,alprazolam
c0011581,disorder depressive,c0002333,alprazolam
c0011581,disorders depressive,c0002333,alprazolam
c0011581,depressive disorder nos,c0002333,alprazolam
c0011581,depressive disorder nos,c0002333,alprazolam
c0011581,depressive disorder,c0002333,alprazolam
c0011581,disorder depressive,c0002333,alprazolam
c0011581,disorderdepressive,c0002333,alprazolam
c0011603,dermatitides,c0008992,clobetasol
c0011603,dermatitis,c0008992,clobetasol
c0011603,dermatitis nos,c0008992,clobetasol
c0011603,dermatitis nos,c0008992,clobetasol
c0011603,dermatitis nos,c0008992,clobetasol
c0011606,dermatitis exfoliative,c0010137,cortisone
c0011606,exfoliative dermatitis,c0010137,cortisone
c0011606,exfoliative dermatitides,c0010137,cortisone
c0011606,dermatitis exfoliative,c0010137,cortisone
c0011606,exfoliative dermatitis nos,c0010137,cortisone
c0011606,dermatitis exfoliative nos,c0010137,cortisone
c0011606,exfoliative dermatitis,c0010137,cortisone
c0011606,dermatitis exfoliative,c0010137,cortisone
c0011606,exfoliative dermatitis,c0010137,cortisone
c0011608,dermatitis herpetiformis,c0010137,cortisone
c0011608,dermatitis herpetiformis,c0010137,cortisone
c0011608,herpetiformis dermatitis,c0010137,cortisone
c0011608,dermatitisherpetiformis,c0010137,cortisone
c0011608,dermatitis herpetiformis,c0010137,cortisone
c0011608,herpetiformis dermatitis,c0010137,cortisone
c0011615,atopic dermatitis,c0005308,betamethasone
c0011615,atopic dermatitides,c0005308,betamethasone
c0011615,dermatitides atopic,c0005308,betamethasone
c0011615,dermatitis atopic,c0005308,betamethasone
c0011615,dermatitis atopic,c0005308,betamethasone
c0011615,atopic dermatitis nos,c0005308,betamethasone
c0011615,dermatitisatopic,c0005308,betamethasone
c0011615,atopic dermatitis nos,c0005308,betamethasone
c0011616,contact dermatitides,c0016294,flumethasone
c0011616,dermatitides contact,c0016294,flumethasone
c0011616,dermatitis contact,c0016294,flumethasone
c0011616,dermatitis contact,c0016294,flumethasone
c0011616,contact dermatitis,c0016294,flumethasone
c0011616,contact dermatitis nos,c0016294,flumethasone
c0011616,dermatitiscontact,c0016294,flumethasone
c0011616,contact dermatitis nos,c0016294,flumethasone
c0011616,dermatitis  contact,c0016294,flumethasone
c0011616,contact dermatitis,c0016294,flumethasone
c0011616,dermatitis contact,c0016294,flumethasone
c0011616,dermatitis contact nos,c0016294,flumethasone
c0011630,dermatomycoses,c0032856,povidone
c0011630,dermatomycosis,c0032856,povidone
c0011630,dermatomycosis nos,c0032856,povidone
c0011633,dermatomyositis,c0010137,cortisone
c0011633,dermatomyositides,c0010137,cortisone
c0011848,diabetes insipidus,c1705480,vasopressin (usp)
c0011848,diabetes insipidus nos,c1705480,vasopressin (usp)
c0011848,diabetes insipidus,c1705480,vasopressin (usp)
c0011849,diabetes mellitus,c0163657,chromium picolinate
c0011849,diabetes mellitus nos,c0163657,chromium picolinate
c0011849,diabetes mellitus nos,c0163657,chromium picolinate
c0011854,diabetes mellitus insulindependent,c0123677,human insulin aspart
c0011854,diabetes mellitus insulin dependent,c0123677,human insulin aspart
c0011854,insulin dependent diabetes mellitus,c0123677,human insulin aspart
c0011854,diabetes mellitus insulin dependent,c0123677,human insulin aspart
c0011854,insulindependent diabetes mellitus,c0123677,human insulin aspart
c0011854,diabetes mellitus insulindependent,c0123677,human insulin aspart
c0011860,diabetes mellitus noninsulindependent,c0000992,acetohexamide
c0011860,noninsulindependent diabetes mellitus,c0000992,acetohexamide
c0011860,diabetes mellitus noninsulin dependent,c0000992,acetohexamide
c0011860,noninsulin dependent diabetes mellitus,c0000992,acetohexamide
c0011860,diabetes mellitus non insulin dependent,c0000992,acetohexamide
c0011860,diabetes mellitus noninsulindependent,c0000992,acetohexamide
c0011860,diabetes mellitus non insulin dependent,c0000992,acetohexamide
c0011875,diabetic angiopathy,c0030899,pentoxifylline
c0011875,angiopathies diabetic,c0030899,pentoxifylline
c0011875,diabetic angiopathies,c0030899,pentoxifylline
c0011875,angiopathy diabetic,c0030899,pentoxifylline
c0011880,diabetic ketoacidoses,c0724601,insulin pork regular
c0011880,ketoacidoses diabetic,c0724601,insulin pork regular
c0011880,diabetic ketoacidosis,c0724601,insulin pork regular
c0011880,ketoacidosis diabetic,c0724601,insulin pork regular
c0011880,ketoacidosis diabetic,c0724601,insulin pork regular
c0011880,ketoacidosis  diabetic,c0724601,insulin pork regular
c0011880,ketoacidosis diabetic,c0724601,insulin pork regular
c0011881,diabetic nephropathies,c0006938,captopril
c0011881,nephropathies diabetic,c0006938,captopril
c0011881,diabetic nephropathy,c0006938,captopril
c0011881,nephropathy diabetic,c0006938,captopril
c0011881,nephropathy diabetic,c0006938,captopril
c0011881,nephropathydiabetic,c0006938,captopril
c0011881,nephropathy  diabetic,c0006938,captopril
c0011881,diabetic nephropathy nos,c0006938,captopril
c0011882,neuropathy diabetic,c0006931,capsaicin
c0011882,diabetic neuropathy,c0006931,capsaicin
c0011882,neuropathies diabetic,c0006931,capsaicin
c0011882,neuropathy diabetic,c0006931,capsaicin
c0011882,neuropathydiabetic,c0006931,capsaicin
c0011882,diabetic neuropathies,c0006931,capsaicin
c0011882,neuropathy  diabetic,c0006931,capsaicin
c0011884,retinopathy diabetic,c1134659,aflibercept
c0011884,diabetic retinopathies,c1134659,aflibercept
c0011884,retinopathies diabetic,c1134659,aflibercept
c0011884,diabetic retinopathy,c1134659,aflibercept
c0011884,diabetic retinopathy nos,c1134659,aflibercept
c0011884,retinopathydiabetic,c1134659,aflibercept
c0011884,retinopathy  diabetic,c1134659,aflibercept
c0011884,retinopathy diabetic,c1134659,aflibercept
c0011884,diabetic retinopathy nos,c1134659,aflibercept
c0011974,diaper rash,c0006020,boric acid
c0011974,rashes diaper,c0006020,boric acid
c0011974,rash diaper,c0006020,boric acid
c0011974,diaper rashes,c0006020,boric acid
c0011991,diarrheas,c0001275,activated charcoal
c0011991,diarrhea,c0001275,activated charcoal
c0011991,diarrhoea,c0001275,activated charcoal
c0011991,diarrhea nos,c0001275,activated charcoal
c0011991,diarrhea nos,c0001275,activated charcoal
c0011991,diarrhoea nos,c0001275,activated charcoal
c0012242,digestive system disorders,c0718043,sacrosidase
c0012242,digestive system disorder,c0718043,sacrosidase
c0012242,system disorders digestive,c0718043,sacrosidase
c0012242,disorder of digestive system,c0718043,sacrosidase
c0012546,diphtheria,c0012547,"antitoxin, diphtheria"
c0012546,diphteria,c0012547,"antitoxin, diphtheria"
c0012546,diphtheria nos,c0012547,"antitoxin, diphtheria"
c0012546,diphtheria nos,c0012547,"antitoxin, diphtheria"
c0012739,coagulations disseminated intravascular,c0724532,antithrombin iii (human)
c0012739,coagulations intravascular disseminated,c0724532,antithrombin iii (human)
c0012739,disseminated coagulations intravascular,c0724532,antithrombin iii (human)
c0012739,disseminated intravascular coagulation,c0724532,antithrombin iii (human)
c0012739,disseminated intravascular coagulations,c0724532,antithrombin iii (human)
c0012739,intravascular coagulations disseminated,c0724532,antithrombin iii (human)
c0012739,intravascular disseminated coagulations,c0724532,antithrombin iii (human)
c0012739,coagulation intravascular disseminated,c0724532,antithrombin iii (human)
c0012739,intravascular coagulation disseminated,c0724532,antithrombin iii (human)
c0012739,intravascular disseminated coagulation,c0724532,antithrombin iii (human)
c0012739,coagulation disseminated intravascular,c0724532,antithrombin iii (human)
c0012739,disseminated coagulation intravascular,c0724532,antithrombin iii (human)
c0012813,diverticulitides,c0036442,scopolamine
c0012813,diverticulitis,c0036442,scopolamine
c0012813,diverticulitis nos,c0036442,scopolamine
c0012813,diverticulitis nos,c0036442,scopolamine
c0012814,diverticulitis colonic,c0043572,glucomannan
c0012814,colonic diverticulitis,c0043572,glucomannan
c0012814,diverticulitis colonic,c0043572,glucomannan
c0012833,dizziness,c0010547,cyclizine
c0012833,dizzyness,c0010547,cyclizine
c0013100,dracunculiases,c0039832,thiabendazole
c0013100,dracunculiasis,c0039832,thiabendazole
c0013182,allergies drug,c0065865,medrysone
c0013182,drug allergy,c0065865,medrysone
c0013182,drug allergy nos,c0065865,medrysone
c0013182,drug allergy nos,c0065865,medrysone
c0013182,allergy drugs,c0065865,medrysone
c0013182,allergy drug,c0065865,medrysone
c0013182,drug allergies,c0065865,medrysone
c0013182,allergies drug,c0065865,medrysone
c0013182,allergies drugs,c0065865,medrysone
c0013182,allergy drug,c0065865,medrysone
c0013182,allergy to drug,c0065865,medrysone
c0013182,allergy to drugs,c0065865,medrysone
c0013182,drug allergy,c0065865,medrysone
c0013221,drug toxicity,c0001047,acetylcysteine
c0013221,drug toxicity nos,c0001047,acetylcysteine
c0013221,drug toxicities,c0001047,acetylcysteine
c0013221,drugs toxicity,c0001047,acetylcysteine
c0013221,toxicities drug,c0001047,acetylcysteine
c0013221,drug toxicity nos,c0001047,acetylcysteine
c0013221,toxicity drug,c0001047,acetylcysteine
